epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,0.00045837939251214266,
0,99,,0.0003052816609852016,
0,149,,0.00035730464151129127,
0,199,,0.00036998072755523026,
0,199,,,0.00011387408449081704
0,199,0.0010647696908563375,,
1,249,,0.0003881536249537021,
1,299,,0.0004310368385631591,
1,349,,0.0004616911173798144,
1,399,,0.0003627993573900312,
1,399,,,0.00010075642785523087
1,399,0.00036744322278536856,,
2,449,,0.00033243856159970164,
2,499,,0.0003806198656093329,
2,549,,0.00032070401357486844,
2,599,,0.0003271320019848645,
2,599,,,0.00012469403736758977
2,599,0.0003752524789888412,,
3,649,,0.00044864602386951447,
3,699,,0.00035480441874824464,
3,749,,0.00044595595682039857,
3,799,,0.0003177305916324258,
3,799,,,0.00013576375204138458
3,799,0.0003742121916729957,,
4,849,,0.0003813453658949584,
4,899,,0.00035495025804266334,
4,949,,0.00040063075721263885,
4,999,,0.0003937169094569981,
4,999,,,0.00013377553841564804
4,999,0.0003704477858263999,,
5,1049,,0.0004231564234942198,
5,1099,,0.00028412899700924754,
5,1149,,0.00039183461922220886,
5,1199,,0.00034653343027457595,
5,1199,,,0.000207127261091955
5,1199,0.00037043425254523754,,
6,1249,,0.00039904762525111437,
6,1299,,0.0003798906982410699,
6,1349,,0.000361154176061973,
6,1399,,0.00039038844988681376,
6,1399,,,0.00016107196279335767
6,1399,0.00037424967740662396,,
7,1449,,0.00030580494785681367,
7,1499,,0.00030983082251623273,
7,1549,,0.0004092405433766544,
7,1599,,0.0003268371510785073,
7,1599,,,0.00013851173571310937
7,1599,0.0003635615867096931,,
8,1649,,0.00033489687484689057,
8,1699,,0.00028965724050067365,
8,1749,,0.00037784772575832903,
8,1799,,0.0003574838337954134,
8,1799,,,0.0001571528846397996
8,1799,0.00034924093051813543,,
9,1849,,0.00034711568150669336,
9,1899,,0.0003340024850331247,
9,1949,,0.00034099631011486053,
9,1999,,0.00034089299151673913,
9,1999,,,0.00011258195445407182
9,1999,0.00035773709532804787,,
10,2049,,0.00034126953687518835,
10,2099,,0.0003248745633754879,
10,2149,,0.0003052108804695308,
10,2199,,0.0003389076155144721,
10,2199,,,0.00011398260539863259
10,2199,0.00034753550426103175,,
11,2249,,0.0003561266348697245,
11,2299,,0.0003425917821004987,
11,2349,,0.00034033969859592617,
11,2399,,0.00037121083005331457,
11,2399,,,0.00015120675379876047
11,2399,0.00033948052441701293,,
12,2449,,0.00034241474349983037,
12,2499,,0.0002644351916387677,
12,2549,,0.0003389661433175206,
12,2599,,0.0003081437316723168,
12,2599,,,0.00015306583372876048
12,2599,0.0003405198804102838,,
13,2649,,0.00033039244590327144,
13,2699,,0.0004119699005968869,
13,2749,,0.00031983203371055424,
13,2799,,0.00031339318957179785,
13,2799,,,0.00011922325938940048
13,2799,0.0003312992921564728,,
14,2849,,0.0003055893466807902,
14,2899,,0.000363479572115466,
14,2949,,0.0003210933064110577,
14,2999,,0.00030722172232344747,
14,2999,,,0.00013676838716492057
14,2999,0.0003357481909915805,,
15,3049,,0.00036697095492854714,
15,3099,,0.00033446744782850146,
15,3149,,0.00031563208904117346,
15,3199,,0.00029828905826434493,
15,3199,,,8.280633483082056e-05
15,3199,0.0003240894584450871,,
16,3249,,0.0003079978923778981,
16,3299,,0.000409298634622246,
16,3349,,0.0003724686393979937,
16,3399,,0.00026990711921826005,
16,3399,,,0.00011983640433754772
16,3399,0.00031993648735806346,,
17,3449,,0.0002712155692279339,
17,3499,,0.000269484386080876,
17,3549,,0.00029807956889271736,
17,3599,,0.0003054103581234813,
17,3599,,,0.00011944196739932522
17,3599,0.00031811860390007496,,
18,3649,,0.00024316419148817658,
18,3699,,0.0002791114675346762,
18,3749,,0.00030322361271828413,
18,3799,,0.00033064093440771103,
18,3799,,,9.137577580986544e-05
18,3799,0.0003004495520144701,,
19,3849,,0.0003011363442055881,
19,3899,,0.0002557298284955323,
19,3949,,0.0002823407994583249,
19,3999,,0.00025290052872151136,
19,3999,,,9.053781832335517e-05
19,3999,0.0002998013806063682,,
20,4049,,0.00031125632813200355,
20,4099,,0.00032888492569327354,
20,4149,,0.0003253524482715875,
20,4199,,0.0003280876262579113,
20,4199,,,0.0001734020042931661
20,4199,0.0003016004338860512,,
21,4249,,0.00030969263752922416,
21,4299,,0.0002696762094274163,
21,4349,,0.00028057536110281944,
21,4399,,0.00032794580329209566,
21,4399,,,0.00012404483277350664
21,4399,0.0002978726988658309,,
22,4449,,0.0003249920846428722,
22,4499,,0.00027960201259702444,
22,4549,,0.00027790089370682836,
22,4599,,0.000283828005194664,
22,4599,,,9.518206206848845e-05
22,4599,0.00029500239179469645,,
23,4649,,0.0002462223928887397,
23,4699,,0.0002788897545542568,
23,4749,,0.0003015011316165328,
23,4799,,0.00027182401390746236,
23,4799,,,0.00010193265188718215
23,4799,0.0002889962343033403,,
24,4849,,0.00033611408434808254,
24,4899,,0.00028412608662620187,
24,4949,,0.00032884106622077525,
24,4999,,0.0002434525958960876,
24,4999,,,0.00014782109064981341
24,4999,0.00028657098300755024,,
25,5049,,0.0003074327250942588,
25,5099,,0.00035998510429635644,
25,5149,,0.00027985440101474524,
25,5199,,0.0003284887643530965,
25,5199,,,0.00011489413736853749
25,5199,0.000284902605926618,,
26,5249,,0.0003299182280898094,
26,5299,,0.0002615920966491103,
26,5349,,0.00033155412529595196,
26,5399,,0.0002728863910306245,
26,5399,,,8.396209159400314e-05
26,5399,0.00027877526008524,,
27,5449,,0.0002357217454118654,
27,5499,,0.0002928656176663935,
27,5549,,0.00030303181847557425,
