epoch,step,train_loss_epoch,train_loss_step,val_loss
0,12,,,5.777633190155029
0,12,30.993173599243164,,
1,25,,,1.926151990890503
1,25,7.396106719970703,,
2,38,,,0.8750729560852051
2,38,5.326359748840332,,
3,49,,4.670210361480713,
3,51,,,0.514158308506012
3,51,4.455595016479492,,
4,64,,,0.4619482755661011
4,64,4.314523220062256,,
5,77,,,0.360429584980011
5,77,3.8339755535125732,,
6,90,,,0.2720109522342682
6,90,3.8337888717651367,,
7,99,,3.2258567810058594,
7,103,,,0.35601136088371277
7,103,3.7162280082702637,,
8,116,,,0.23972375690937042
8,116,3.4453253746032715,,
9,129,,,0.27992165088653564
9,129,3.5634267330169678,,
10,142,,,0.3245410919189453
10,142,3.393700361251831,,
11,149,,3.2229323387145996,
11,155,,,0.2567565143108368
11,155,3.348182439804077,,
12,168,,,0.2517351508140564
12,168,3.1934008598327637,,
13,181,,,0.22490186989307404
13,181,3.2471795082092285,,
14,194,,,0.20985214412212372
14,194,3.186124324798584,,
15,199,,3.0359091758728027,
15,207,,,0.22109174728393555
15,207,3.0383920669555664,,
16,220,,,0.19005365669727325
16,220,3.0018224716186523,,
17,233,,,0.20946525037288666
17,233,2.860386610031128,,
18,246,,,0.20630542933940887
18,246,2.9436798095703125,,
19,249,,2.6105446815490723,
19,259,,,0.16687554121017456
19,259,2.8805642127990723,,
20,272,,,0.16772215068340302
20,272,3.053832769393921,,
21,285,,,0.21253040432929993
21,285,2.787862777709961,,
22,298,,,0.25226473808288574
22,298,2.828469753265381,,
23,299,,2.920583963394165,
23,311,,,0.18974342942237854
23,311,2.7828619480133057,,
24,324,,,0.21088582277297974
24,324,2.6134653091430664,,
25,337,,,0.1936294138431549
25,337,2.6943089962005615,,
26,349,,2.449984312057495,
26,350,,,0.13833920657634735
26,350,2.649606704711914,,
27,363,,,0.17270120978355408
27,363,2.6572327613830566,,
28,376,,,0.1625690907239914
28,376,2.6754040718078613,,
29,389,,,0.17591941356658936
29,389,2.6540656089782715,,
30,399,,2.887220621109009,
30,402,,,0.20636361837387085
30,402,2.611496925354004,,
31,415,,,0.15981917083263397
31,415,2.4571785926818848,,
32,428,,,0.16995906829833984
32,428,2.4605066776275635,,
33,441,,,0.11004798114299774
33,441,2.5014538764953613,,
34,449,,2.143615484237671,
34,454,,,0.15972070395946503
34,454,2.501154661178589,,
35,467,,,0.2097376435995102
35,467,2.427924394607544,,
36,480,,,0.18733897805213928
36,480,2.494818687438965,,
37,493,,,0.1744646579027176
37,493,2.4758472442626953,,
38,499,,2.512143850326538,
38,506,,,0.13759171962738037
38,506,2.4071249961853027,,
39,519,,,0.11620698124170303
39,519,2.3912906646728516,,
40,532,,,0.12761397659778595
40,532,2.3431146144866943,,
41,545,,,0.12721911072731018
41,545,2.36995267868042,,
42,549,,2.6230032444000244,
42,558,,,0.13781651854515076
42,558,2.354611396789551,,
43,571,,,0.11278899013996124
43,571,2.3602962493896484,,
44,584,,,0.1654924899339676
44,584,2.306079149246216,,
45,597,,,0.15905150771141052
45,597,2.2992424964904785,,
46,599,,2.173373222351074,
46,610,,,0.13012388348579407
46,610,2.392479658126831,,
47,623,,,0.17290231585502625
47,623,2.2339582443237305,,
48,636,,,0.1380038857460022
