epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,3.9029381275177,
0,99,,3.5997860431671143,
0,149,,3.2543087005615234,
0,199,,2.8271734714508057,
0,199,,,0.08580296486616135
0,199,5.704639434814453,,
1,249,,2.572967767715454,
1,299,,2.487217664718628,
1,349,,2.303546905517578,
1,399,,2.319675922393799,
1,399,,,0.04960130155086517
1,399,2.494300127029419,,
2,449,,2.2253308296203613,
2,499,,2.069406509399414,
2,549,,2.019857883453369,
2,599,,1.9424266815185547,
2,599,,,0.02860453724861145
2,599,2.07492733001709,,
3,649,,1.8217406272888184,
3,699,,1.7475007772445679,
3,749,,1.6969099044799805,
3,799,,1.6609426736831665,
3,799,,,0.031191455200314522
3,799,1.8027970790863037,,
4,849,,1.6152423620224,
4,899,,1.6073358058929443,
4,949,,1.5216660499572754,
4,999,,1.4531445503234863,
4,999,,,0.02829115092754364
4,999,1.582147479057312,,
5,1049,,1.435117483139038,
5,1099,,1.384827733039856,
5,1149,,1.2918546199798584,
5,1199,,1.2562867403030396,
5,1199,,,0.027961716055870056
5,1199,1.3976292610168457,,
6,1249,,1.3218027353286743,
6,1299,,1.2564326524734497,
6,1349,,1.1416345834732056,
6,1399,,1.118401288986206,
6,1399,,,0.031672555953264236
6,1399,1.2278168201446533,,
7,1449,,1.1217182874679565,
7,1499,,1.1142518520355225,
7,1549,,1.0471543073654175,
7,1599,,1.0712593793869019,
7,1599,,,0.02492031268775463
7,1599,1.0838308334350586,,
8,1649,,1.0119339227676392,
8,1699,,0.9096539616584778,
8,1749,,0.9076027870178223,
8,1799,,0.8554296493530273,
8,1799,,,0.02076723612844944
8,1799,0.9510058760643005,,
9,1849,,0.872765064239502,
9,1899,,0.8247194886207581,
9,1949,,0.7870668172836304,
9,1999,,0.787775993347168,
9,1999,,,0.020099444314837456
9,1999,0.8297128081321716,,
10,2049,,0.7395972013473511,
10,2099,,0.7507376670837402,
10,2149,,0.669906497001648,
10,2199,,0.677617609500885,
10,2199,,,0.01914963871240616
10,2199,0.7222974300384521,,
11,2249,,0.6484884023666382,
11,2299,,0.6253134608268738,
11,2349,,0.5972974896430969,
11,2399,,0.5979841351509094,
11,2399,,,0.022426409646868706
11,2399,0.6313477754592896,,
12,2449,,0.5623802542686462,
12,2499,,0.5385730266571045,
12,2549,,0.5240325927734375,
12,2599,,0.5324976444244385,
12,2599,,,0.01344385463744402
12,2599,0.5499009490013123,,
13,2649,,0.49074381589889526,
13,2699,,0.4808449149131775,
13,2749,,0.46788737177848816,
13,2799,,0.45121780037879944,
13,2799,,,0.017329424619674683
13,2799,0.48007965087890625,,
14,2849,,0.4439922571182251,
14,2899,,0.43206116557121277,
14,2949,,0.41389209032058716,
14,2999,,0.3901725113391876,
14,2999,,,0.018362391740083694
14,2999,0.42382848262786865,,
15,3049,,0.39889994263648987,
15,3099,,0.3580176532268524,
15,3149,,0.3594732880592346,
15,3199,,0.3473052680492401,
15,3199,,,0.012154657393693924
15,3199,0.3745058476924896,,
16,3249,,0.3377079665660858,
16,3299,,0.330308735370636,
16,3349,,0.3111475706100464,
16,3399,,0.3220503330230713,
16,3399,,,0.011215545237064362
16,3399,0.3316313922405243,,
17,3449,,0.3133070468902588,
17,3499,,0.29853129386901855,
17,3549,,0.30064529180526733,
17,3599,,0.2766757905483246,
17,3599,,,0.013072771020233631
17,3599,0.29513081908226013,,
18,3649,,0.2627406418323517,
18,3699,,0.25679638981819153,
18,3749,,0.24788668751716614,
18,3799,,0.24045193195343018,
18,3799,,,0.011244233697652817
18,3799,0.264691025018692,,
19,3849,,0.24863232672214508,
19,3899,,0.22570961713790894,
19,3949,,0.2366326004266739,
19,3999,,0.24211348593235016,
19,3999,,,0.011501366272568703
19,3999,0.23785452544689178,,
20,4049,,0.20757336914539337,
20,4099,,0.19588790833950043,
20,4149,,0.20183831453323364,
20,4199,,0.20652034878730774,
20,4199,,,0.008585972711443901
20,4199,0.2167869508266449,,
21,4249,,0.20086053013801575,
21,4299,,0.20591680705547333,
21,4349,,0.19888398051261902,
21,4399,,0.19015082716941833,
21,4399,,,0.008592384867370129
21,4399,0.1977592408657074,,
22,4449,,0.1861082911491394,
22,4499,,0.17868870496749878,
22,4549,,0.16797824203968048,
22,4599,,0.17487382888793945,
22,4599,,,0.009201770648360252
22,4599,0.1812136471271515,,
23,4649,,0.16528668999671936,
23,4699,,0.16531415283679962,
23,4749,,0.15608331561088562,
23,4799,,0.1530112624168396,
23,4799,,,0.008593667298555374
23,4799,0.16651509702205658,,
24,4849,,0.1603562980890274,
24,4899,,0.15355825424194336,
24,4949,,0.14349886775016785,
24,4999,,0.14979670941829681,
24,4999,,,0.006194876041263342
24,4999,0.1538294404745102,,
25,5049,,0.15102477371692657,
25,5099,,0.1441229283809662,
25,5149,,0.1474120318889618,
25,5199,,0.1433243453502655,
25,5199,,,0.006560749839991331
25,5199,0.14288808405399323,,
26,5249,,0.1304483562707901,
26,5299,,0.13518348336219788,
26,5349,,0.12006410956382751,
26,5399,,0.13227151334285736,
26,5399,,,0.00836252048611641
26,5399,0.13212338089942932,,
27,5449,,0.12567023932933807,
27,5499,,0.11535628885030746,
27,5549,,0.12831152975559235,
27,5599,,0.11712297052145004,
27,5599,,,0.007479383610188961
27,5599,0.12342926114797592,,
28,5649,,0.11705981940031052,
28,5699,,0.11708907037973404,
28,5749,,0.10568108409643173,
28,5799,,0.10051879286766052,
28,5799,,,0.007504743058234453
28,5799,0.11365751177072525,,
29,5849,,0.11364774405956268,
29,5899,,0.09623289108276367,
29,5949,,0.10249818116426468,
29,5999,,0.10329145938158035,
29,5999,,,0.007458064239472151
29,5999,0.10722310096025467,,
30,6049,,0.1089962050318718,
30,6099,,0.0956573635339737,
30,6149,,0.09256479144096375,
