epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,3.346816062927246,
0,99,,2.9028563499450684,
0,149,,2.584324359893799,
0,199,,2.3169989585876465,
0,199,,,0.11775023490190506
0,199,4.113113880157471,,
1,249,,2.0532891750335693,
1,299,,2.074902296066284,
1,349,,1.947563886642456,
1,399,,1.9071658849716187,
1,399,,,0.08194273710250854
1,399,2.0843071937561035,,
2,449,,1.7283709049224854,
2,499,,1.65471351146698,
2,549,,1.6406927108764648,
2,599,,1.6212818622589111,
2,599,,,0.07851216942071915
2,599,1.705467700958252,,
3,649,,1.4765267372131348,
3,699,,1.4373018741607666,
3,749,,1.406000018119812,
3,799,,1.3449318408966064,
3,799,,,0.06415385752916336
3,799,1.4443987607955933,,
4,849,,1.2638252973556519,
4,899,,1.2654826641082764,
4,949,,1.1620303392410278,
4,999,,1.1172065734863281,
4,999,,,0.06775236129760742
4,999,1.2314043045043945,,
5,1049,,1.0625989437103271,
5,1099,,1.0795116424560547,
5,1149,,1.0313557386398315,
5,1199,,0.9948431849479675,
5,1199,,,0.06798116862773895
5,1199,1.0509244203567505,,
6,1249,,0.9271283149719238,
6,1299,,0.9235790967941284,
6,1349,,0.8996247053146362,
6,1399,,0.812899112701416,
6,1399,,,0.04613393917679787
6,1399,0.9022554755210876,,
7,1449,,0.7692749500274658,
7,1499,,0.7568387985229492,
7,1549,,0.7218284606933594,
7,1599,,0.7073105573654175,
7,1599,,,0.050032082945108414
7,1599,0.7685293555259705,,
8,1649,,0.6828392148017883,
8,1699,,0.6893929243087769,
8,1749,,0.6590208411216736,
8,1799,,0.624323844909668,
8,1799,,,0.04068947955965996
8,1799,0.658936619758606,,
9,1849,,0.5834946632385254,
9,1899,,0.5874330997467041,
9,1949,,0.5277042984962463,
9,1999,,0.5132531523704529,
9,1999,,,0.044780127704143524
9,1999,0.5591959357261658,,
10,2049,,0.501167893409729,
10,2099,,0.48336613178253174,
10,2149,,0.43859657645225525,
10,2199,,0.4263487756252289,
10,2199,,,0.0371193028986454
10,2199,0.4755927622318268,,
11,2249,,0.4190281629562378,
11,2299,,0.3953092098236084,
11,2349,,0.4046233892440796,
11,2399,,0.39434951543807983,
11,2399,,,0.037644706666469574
11,2399,0.41007718443870544,,
12,2449,,0.36370447278022766,
12,2499,,0.3655725121498108,
12,2549,,0.3291071355342865,
12,2599,,0.37453532218933105,
12,2599,,,0.034345246851444244
12,2599,0.35281112790107727,,
13,2649,,0.3415277600288391,
13,2699,,0.3239593207836151,
13,2749,,0.30402663350105286,
13,2799,,0.27544930577278137,
13,2799,,,0.029458804056048393
13,2799,0.3071068823337555,,
14,2849,,0.27069321274757385,
14,2899,,0.2725811302661896,
14,2949,,0.2428991198539734,
14,2999,,0.25461432337760925,
14,2999,,,0.03253668174147606
14,2999,0.268034428358078,,
15,3049,,0.24368900060653687,
15,3099,,0.25288882851600647,
15,3149,,0.21328459680080414,
15,3199,,0.223552867770195,
15,3199,,,0.035241857171058655
15,3199,0.23637935519218445,,
16,3249,,0.21331718564033508,
16,3299,,0.2107847034931183,
16,3349,,0.21918976306915283,
16,3399,,0.20731401443481445,
16,3399,,,0.027207931503653526
16,3399,0.20927518606185913,,
17,3449,,0.2001703977584839,
17,3499,,0.18152251839637756,
17,3549,,0.1771857738494873,
17,3599,,0.16823698580265045,
17,3599,,,0.030600281432271004
17,3599,0.18733970820903778,,
18,3649,,0.1810808777809143,
18,3699,,0.15796159207820892,
18,3749,,0.16329388320446014,
18,3799,,0.15882885456085205,
18,3799,,,0.029389020055532455
18,3799,0.16803324222564697,,
19,3849,,0.15082252025604248,
19,3899,,0.1661655157804489,
19,3949,,0.151906818151474,
19,3999,,0.14879389107227325,
19,3999,,,0.026255199685692787
19,3999,0.1517881155014038,,
20,4049,,0.15627241134643555,
20,4099,,0.12779313325881958,
20,4149,,0.1387309581041336,
20,4199,,0.1413981020450592,
20,4199,,,0.026607930660247803
20,4199,0.13878671824932098,,
21,4249,,0.1298169046640396,
21,4299,,0.13348622620105743,
21,4349,,0.12806762754917145,
21,4399,,0.13441702723503113,
21,4399,,,0.024138620123267174
21,4399,0.12723812460899353,,
22,4449,,0.11662185192108154,
22,4499,,0.12560130655765533,
22,4549,,0.14625702798366547,
22,4599,,0.10904040932655334,
22,4599,,,0.025525115430355072
22,4599,0.11776012182235718,,
23,4649,,0.1143457219004631,
23,4699,,0.1217905730009079,
23,4749,,0.12036444246768951,
23,4799,,0.11132535338401794,
23,4799,,,0.024390988051891327
23,4799,0.10908064991235733,,
24,4849,,0.10445061326026917,
24,4899,,0.091584712266922,
24,4949,,0.1138521209359169,
24,4999,,0.10041177272796631,
24,4999,,,0.02446516416966915
24,4999,0.10203797370195389,,
25,5049,,0.10318107903003693,
25,5099,,0.09256452322006226,
25,5149,,0.09353415668010712,
25,5199,,0.09933532029390335,
25,5199,,,0.026214923709630966
25,5199,0.09488800913095474,,
26,5249,,0.07993785291910172,
26,5299,,0.09041743725538254,
26,5349,,0.08448109030723572,
26,5399,,0.07944643497467041,
26,5399,,,0.02392616495490074
26,5399,0.08977494388818741,,
27,5449,,0.0862322673201561,
27,5499,,0.07947465032339096,
27,5549,,0.08878383785486221,
27,5599,,0.0777573436498642,
27,5599,,,0.021741753444075584
27,5599,0.08454471826553345,,
28,5649,,0.08345121890306473,
28,5699,,0.07906901836395264,
28,5749,,0.07344689965248108,
