epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,0.006823697127401829,
0,99,,0.006298397202044725,
0,149,,0.006556053180247545,
0,199,,0.005932483356446028,
0,199,,,0.0009489035001024604
0,199,0.008297874592244625,,
1,249,,0.006234653759747744,
1,299,,0.006430625915527344,
1,349,,0.006605199538171291,
1,399,,0.005617509130388498,
1,399,,,0.0010619218228384852
1,399,0.00619385065510869,,
2,449,,0.00538066029548645,
2,499,,0.0056639728136360645,
2,549,,0.005051509942859411,
2,599,,0.005479891784489155,
2,599,,,0.0009621708886697888
2,599,0.0054650986567139626,,
3,649,,0.004976935684680939,
3,699,,0.0044185020960867405,
3,749,,0.004867015406489372,
3,799,,0.00470605306327343,
3,799,,,0.0008386679692193866
3,799,0.004863665904849768,,
4,849,,0.004406873602420092,
4,899,,0.00446233619004488,
4,949,,0.003912816755473614,
4,999,,0.004569475073367357,
4,999,,,0.0006725712446495891
4,999,0.004320390988141298,,
5,1049,,0.004264160059392452,
5,1099,,0.003608480328693986,
5,1149,,0.003990564960986376,
5,1199,,0.004107777960598469,
5,1199,,,0.0006954712443985045
5,1199,0.003904258366674185,,
6,1249,,0.0032734547276049852,
6,1299,,0.003672535764053464,
6,1349,,0.0033162294421344995,
6,1399,,0.0037408191710710526,
6,1399,,,0.0006112252594903111
6,1399,0.0035365265794098377,,
7,1449,,0.003243825864046812,
7,1499,,0.0034905308857560158,
7,1549,,0.002938162535429001,
7,1599,,0.0029564490541815758,
7,1599,,,0.0005161591689102352
7,1599,0.0032704344484955072,,
8,1649,,0.0027754604816436768,
8,1699,,0.003044708864763379,
8,1749,,0.0033224602229893208,
8,1799,,0.0031317290849983692,
8,1799,,,0.0006209822604432702
8,1799,0.003020039526745677,,
9,1849,,0.0030509494245052338,
9,1899,,0.0028259458485990763,
9,1949,,0.002681765239685774,
9,1999,,0.0029730889946222305,
9,1999,,,0.0006362146232277155
9,1999,0.0028246610891073942,,
10,2049,,0.0023196956608444452,
10,2099,,0.00296209123916924,
10,2149,,0.0027353251352906227,
10,2199,,0.0028763976879417896,
10,2199,,,0.000711193133611232
10,2199,0.002654469106346369,,
11,2249,,0.0027700539212673903,
11,2299,,0.002447198610752821,
11,2349,,0.0020904443226754665,
11,2399,,0.0026267156936228275,
11,2399,,,0.0004914444289170206
11,2399,0.0025135313626378775,,
12,2449,,0.002494380110874772,
12,2499,,0.002250203164294362,
12,2549,,0.0020187937188893557,
12,2599,,0.0018895948305726051,
12,2599,,,0.0006266163545660675
12,2599,0.0023778455797582865,,
13,2649,,0.001900103990919888,
13,2699,,0.002052921336144209,
13,2749,,0.0022567682899534702,
13,2799,,0.002662760904058814,
13,2799,,,0.0004200168186798692
13,2799,0.002272198908030987,,
14,2849,,0.0020252089016139507,
14,2899,,0.002316595520824194,
14,2949,,0.0021997522562742233,
14,2999,,0.002112157642841339,
14,2999,,,0.0005601041484624147
14,2999,0.002173021202906966,,
15,3049,,0.002217181958258152,
15,3099,,0.0021403958089649677,
15,3149,,0.0023243818432092667,
15,3199,,0.002039799466729164,
15,3199,,,0.0006014390964992344
15,3199,0.0020889879669994116,,
16,3249,,0.0018362655537202954,
16,3299,,0.0018653585575520992,
16,3349,,0.002045332919806242,
16,3399,,0.0017426421400159597,
16,3399,,,0.00048790473374538124
16,3399,0.0020100343972444534,,
17,3449,,0.002145848236978054,
17,3499,,0.001896046451292932,
17,3549,,0.0022886511869728565,
17,3599,,0.0016358101274818182,
17,3599,,,0.0005473931087180972
17,3599,0.0019618673250079155,,
18,3649,,0.0017723747296258807,
18,3699,,0.0019000606844201684,
18,3749,,0.0015014323871582747,
18,3799,,0.001903821830637753,
18,3799,,,0.000406989041948691
18,3799,0.0018791534239426255,,
19,3849,,0.0018016081303358078,
19,3899,,0.0017672283574938774,
19,3949,,0.0016725966706871986,
19,3999,,0.0018488997593522072,
19,3999,,,0.00043623929377645254
19,3999,0.0018427877221256495,,
20,4049,,0.0014448338188230991,
20,4099,,0.0020683971233665943,
20,4149,,0.001795218326151371,
20,4199,,0.0016791035886853933,
20,4199,,,0.0004213643551338464
20,4199,0.0017652417300269008,,
21,4249,,0.002202821196988225,
21,4299,,0.0016664396971464157,
21,4349,,0.0020532056223601103,
21,4399,,0.001494424999691546,
21,4399,,,0.00037934561260044575
21,4399,0.0017332545248791575,,
22,4449,,0.0016137835336849093,
22,4499,,0.0017823597881942987,
22,4549,,0.0016036673914641142,
22,4599,,0.0015164321521297097,
22,4599,,,0.0005406205891631544
22,4599,0.0017047725850716233,,
23,4649,,0.0017603009473532438,
23,4699,,0.001725771464407444,
23,4749,,0.001898301299661398,
23,4799,,0.001447391347028315,
23,4799,,,0.0003724431444425136
23,4799,0.0016557947965338826,,
24,4849,,0.0013590215239673853,
24,4899,,0.0020163306035101414,
24,4949,,0.0018137532752007246,
24,4999,,0.0018116062274202704,
24,4999,,,0.00047300918959081173
24,4999,0.001603202777914703,,
25,5049,,0.001369246281683445,
25,5099,,0.0014498888049274683,
25,5149,,0.0015613309806212783,
25,5199,,0.0018590824911370873,
25,5199,,,0.000491035811137408
25,5199,0.0015894458629190922,,
26,5249,,0.001587912905961275,
26,5299,,0.00138477620203048,
26,5349,,0.0013169411104172468,
26,5399,,0.0016488197725266218,
26,5399,,,0.0004263399459887296
26,5399,0.0015332824550569057,,
27,5449,,0.0016635096399113536,
27,5499,,0.001337374676950276,
27,5549,,0.0014499534154310822,
27,5599,,0.001477908343076706,
27,5599,,,0.00042413544724695385
27,5599,0.0014914951752871275,,
28,5649,,0.0014364836970344186,
28,5699,,0.001603565295226872,
28,5749,,0.0012430523056536913,
28,5799,,0.0017957641975954175,
28,5799,,,0.0003320497926324606
28,5799,0.0014804821694269776,,
29,5849,,0.0013918218901380897,
29,5899,,0.0013412152184173465,
29,5949,,0.0013291331706568599,
29,5999,,0.0015356860822066665,
29,5999,,,0.00032178498804569244
29,5999,0.0014549460029229522,,
30,6049,,0.0012251203879714012,
30,6099,,0.0015400844858959317,
30,6149,,0.0015001222491264343,
30,6199,,0.0013568473514169455,
30,6199,,,0.000442779652075842
30,6199,0.001423198264092207,,
31,6249,,0.0012569944374263287,
31,6299,,0.0011509027099236846,
31,6349,,0.0010171281173825264,
31,6399,,0.001344928052276373,
31,6399,,,0.0004641287960112095
31,6399,0.0014144043670967221,,
32,6449,,0.001477102399803698,
32,6499,,0.0014008893631398678,
32,6549,,0.0014483805280178785,
32,6599,,0.0012886682525277138,
32,6599,,,0.0003580426564440131
32,6599,0.0013711339561268687,,
33,6649,,0.0011786296963691711,
33,6699,,0.001496387762017548,
33,6749,,0.0014068196760490537,
