epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,0.05070793628692627,
0,99,,0.04197287559509277,
0,149,,0.04177893325686455,
0,199,,0.05507899820804596,
0,199,,,0.019812148064374924
0,199,0.0506104938685894,,
1,249,,0.04264319688081741,
1,299,,0.04599172621965408,
1,349,,0.043443188071250916,
1,399,,0.048103995621204376,
1,399,,,0.01920001022517681
1,399,0.043675266206264496,,
2,449,,0.038685332983732224,
2,499,,0.039646416902542114,
2,549,,0.04002679884433746,
2,599,,0.03633268550038338,
2,599,,,0.018884072080254555
2,599,0.04227457940578461,,
3,649,,0.043661929666996,
3,699,,0.03641960397362709,
3,749,,0.03554029017686844,
3,799,,0.038620829582214355,
3,799,,,0.019114423543214798
3,799,0.04018872603774071,,
4,849,,0.033794328570365906,
4,899,,0.04555235803127289,
4,949,,0.04213783144950867,
4,999,,0.037555769085884094,
4,999,,,0.018396785482764244
4,999,0.03856591135263443,,
5,1049,,0.03615898638963699,
5,1099,,0.04535304009914398,
5,1149,,0.03277105838060379,
5,1199,,0.035949595272541046,
5,1199,,,0.017806045711040497
5,1199,0.03689483553171158,,
6,1249,,0.03499491512775421,
6,1299,,0.0329572856426239,
6,1349,,0.033611960709095,
6,1399,,0.03562634810805321,
6,1399,,,0.01918734610080719
6,1399,0.03516610339283943,,
7,1449,,0.03218486160039902,
7,1499,,0.03427019715309143,
7,1549,,0.03303451091051102,
7,1599,,0.04472082108259201,
7,1599,,,0.018041906878352165
7,1599,0.03391638398170471,,
8,1649,,0.031440019607543945,
8,1699,,0.034164853394031525,
8,1749,,0.03197680413722992,
8,1799,,0.030345842242240906,
8,1799,,,0.017385205253958702
8,1799,0.032407116144895554,,
9,1849,,0.03355131298303604,
9,1899,,0.030762404203414917,
9,1949,,0.026439696550369263,
9,1999,,0.031358879059553146,
9,1999,,,0.017952769994735718
9,1999,0.03133189678192139,,
10,2049,,0.0281910989433527,
10,2099,,0.034856028854846954,
10,2149,,0.02665882557630539,
10,2199,,0.029431838542222977,
10,2199,,,0.017167983576655388
10,2199,0.030048822984099388,,
11,2249,,0.027302179485559464,
11,2299,,0.026859775185585022,
11,2349,,0.024606239050626755,
11,2399,,0.028374958783388138,
11,2399,,,0.01713676191866398
11,2399,0.028993643820285797,,
12,2449,,0.02905723825097084,
12,2499,,0.025953609496355057,
12,2549,,0.029167387634515762,
12,2599,,0.02829771488904953,
12,2599,,,0.01735156588256359
12,2599,0.027923844754695892,,
13,2649,,0.027407094836235046,
13,2699,,0.024044450372457504,
13,2749,,0.031309835612773895,
13,2799,,0.02472161501646042,
13,2799,,,0.01700170710682869
13,2799,0.02689901739358902,,
14,2849,,0.025736428797245026,
14,2899,,0.026775922626256943,
14,2949,,0.02504468895494938,
14,2999,,0.026541639119386673,
14,2999,,,0.01735868491232395
14,2999,0.02632528357207775,,
15,3049,,0.02371080219745636,
15,3099,,0.02456417679786682,
15,3149,,0.024235092103481293,
15,3199,,0.027454640716314316,
15,3199,,,0.017006002366542816
15,3199,0.025145895779132843,,
16,3249,,0.025978390127420425,
16,3299,,0.021877598017454147,
16,3349,,0.022527292370796204,
16,3399,,0.02485315501689911,
